DNI,Id. Empleat,Tipus de sol�licitud,CP,Telefon,DataNaix,Sexe,Email per notificacions,CP per notificacions,%Minus,Adaptacio Centre base,Apte Segons centre base,exclos,Niv cat,Comprobar amb pol. lingüística,proba física superada,carnet conducir,examen1,examen2,examen3,examen4,examen5,Municipi
49856578F,6288427,PreZëncial,07222,+34 162111353,14/03/1986,M,ldxoxzhtqq@outlook.com,07431,70.0,True,True,False,B1,True,True,Si,3.5,7.66,6.58,2.69,3.01,Pollença
80373433W,8004206,PreZëncial,07991,+34 534059748,07/08/1989,F,yqefip@gmail.com,07818,0.0,False,True,False,A2,True,True,Si,7.52,7.16,7.04,,9.41,Petra
31175271J,3911954,PreZëncial,07431,+34 066323813,01/06/2001,M,fbjxyc@outlook.com,07200,0.0,False,True,False,A2,True,True,Sí,2.26,NP,7.84,7.02,7.97,Palma de Mallorca
OB156466,1422934,PreZëncial,07126,+34 330989079,03/01/1976,M,cqzlnlsrsa@outlook.com,07747,0.0,False,True,False,A1,True,True,Sí,6.09,7.28,7.07,7.05,NP,Santa Eulalia del Río (Santa Eulària des Riu)
42297753V,9159907,PreZëncial,07494,+34 757131557,16/10/1985,F,rgbkiutmnm@gmail.com,07792,0.0,False,True,False,A2,True,True,Sí,2.87,5.41,6.77,5.17,1.87,Sant Llorenç des Cardassar
05929599S,3842032,PreZëncial,07038,+34 537803872,19/05/1986,M,jesvpjqawo@yahoo.com,07595,0.0,False,True,False,A1,True,True,Sí,10.0,6.51,5.38,4.1,0.0,Consell
63354732J,6769746,PreZëncial,07544,+34 891894946,29/03/1997,F,uifxvztep@yahoo.com,07222,22.0,False,True,False,B2,True,True,Si,8.62,5.48,8.25,6.49,4.63,Lloseta
IO307918,7088376,Certificat digital,07603,+34 721752620,23/02/1991,F,ofwkvyf@example.com,07038,0.0,False,True,False,A2,True,True,No,10.0,7.6,NP,8.19,5.53,Son Servera
UA267132,2985813,PreZëncial,07603,+34 525862618,10/03/1995,F,mfosckpvfz@example.com,07544,0.0,False,True,False,B1,True,True,Sí,10.0,10.0,8.44,2.97,0.0,Son Servera
42492528M,7195043,PreZëncial,07431,+34 558690519,16/02/1983,F,zofonsad@yahoo.com,07991,0.0,False,True,False,B1,True,True,Sí,8.35,NP,7.41,,NP,Palma de Mallorca
OO153587,3919773,Certificat digital,07818,+34 395692017,28/01/1989,F,pluhvxjoe@example.com,07657,18.0,False,True,False,B1,False,True,Sí,8.28,7.7,5.08,NP,3.43,Sóller
68981390C,6540263,PreZëncial,07200,+34 243235834,16/01/2003,M,bmujfjjvgw@example.com,07803,0.0,False,True,False,A1,True,False,Sí,10.0,8.03,8.5,2.41,0.0,Sant Josep de sa Talaia
12927094J,3337677,PreZëncial,07038,+34 715517792,30/11/1976,M,rqoanop@outlook.com,07612,0.0,False,True,False,C1,True,True,Sí,3.06,8.89,6.94,2.12,3.67,Consell
92463240C,7587082,PreZëncial,07737,+34 905512580,29/03/1974,M,upsjmjj@example.com,07905,0.0,False,True,False,C1,True,True,Sí,10.0,6.55,8.1,4.95,NP,Mahón (Maó)
33616052B,6178308,PreZëncial,07803,+34 859318058,24/09/1979,F,wcsyqmbikf@example.com,07950,0.0,False,True,False,B1,True,True,Sí,10.0,9.82,6.51,,NP,Felanitx
00549065D,8838254,PreZëncial,07805,+34 113097775,28/05/1990,M,uakirf@gmail.com,07494,0.0,False,True,False,A2,True,True,Sí,2.78,5.28,7.36,7.43,6.88,Ibiza
RA534373,226792,Certificat digital,07737,+34 726596226,02/08/1997,M,siwgtzfpg@gmail.com,07126,0.0,False,True,False,A2,True,True,No,7.15,6.13,6.16,6.38,10.0,Mahón (Maó)
54980564F,6589950,PreZëncial,07657,+34 540364221,30/09/1979,F,dsstywl@hotmail.com,07544,0.0,False,True,False,B2,True,True,Si,NP,6.54,6.3,2.76,10.0,Ses Salines
DJ098569,8126285,PreZëncial,07603,+34 421388722,09/05/1976,F,ilbwzhwc@yahoo.com,07803,0.0,False,True,False,C1,True,True,Sí,4.92,10.0,5.84,4.76,NP,Son Servera
97369293N,8565392,PreZëncial,07516,+34 480467061,15/07/2005,M,pvkrxv@yahoo.com,07740,0.0,False,True,False,B2,True,True,No,4.79,NP,7.91,2.25,5.15,Santanyí
36357762Y,6833704,PreZëncial,07158,+34 180977298,17/05/1986,F,nulibra@hotmail.com,07747,0.0,False,True,False,C2,True,True,No,1.26,6.87,10.0,2.18,0.0,Artà
NH863837,324669,PreZëncial,07500,+34 131299709,26/07/1981,F,dlaedjw@example.com,07121,0.0,False,True,False,B1,True,True,No,9.47,9.22,5.72,6.0,10.0,Campos
75138261K,6316206,Certificat digital,07915,+34 661346849,10/01/1995,M,dzhnut@example.com,07991,0.0,False,True,False,B1,True,True,Sí,10.0,3.93,6.05,3.89,6.41,Capdepera
46999750D,9130466,PreZëncial,07222,+34 339605024,28/04/2004,M,wjamk@example.com,07603,0.0,False,True,False,C2,True,True,Sí,0.0,10.0,8.41,6.33,0.0,Pollença
VM688314,2181064,PreZëncial,07915,+34 485218777,15/03/1981,F,zoguxvzfh@gmail.com,07544,0.0,False,True,False,A2,True,True,Sí,10.0,7.54,,8.2,8.78,Capdepera
II715506,4413103,PreZëncial,07360,+34 556320006,25/07/1981,F,fmtkclqczd@hotmail.com,07121,0.0,False,True,False,B2,True,True,Sí,10.0,10.0,,6.69,NP,Marratxí
99299885F,9261956,Certificat digital,07360,+34 356842498,25/05/1974,F,achahmte@yahoo.com,07805,0.0,False,True,False,B1,True,True,Sí,6.16,9.13,6.61,9.03,6.25,Marratxí
41140774F,254742,PreZëncial,07915,+34 252916051,05/11/1976,F,lxoahd@example.com,07038,0.0,False,True,False,B2,True,True,Sí,8.26,7.58,7.14,0.0,0.0,Capdepera
53116100S,2691833,Certificat digital,07595,+34 575480769,21/05/1980,F,zmqpopzcts@outlook.com,07494,0.0,False,True,False,B2,True,True,Sí,6.88,10.0,8.56,5.93,0.19,Llucmajor
82353953S,4307827,PreZëncial,07222,+34 756620935,20/11/2002,N,srmik@yahoo.com,07737,22.0,False,True,False,B1,True,False,Sí,8.38,9.89,7.32,6.91,5.81,Pollença
CB828987,6788310,PreZëncial,07737,+34 057310311,06/08/1986,M,oufkcypya@yahoo.com,07657,0.0,False,True,False,B2,True,True,No,2.72,7.64,6.63,3.52,10.0,Mahón (Maó)
71547718P,6841328,PreZëncial,07200,+34 565271736,03/02/2001,F,mwcbx@outlook.com,07612,0.0,False,True,False,B1,True,True,Sí,0.11,6.6,3.67,4.31,1.59,Sant Josep de sa Talaia
21086596N,5943603,Certificat digital,07595,+34 305370026,12/03/1977,F,vaxvdbc@yahoo.com,07803,0.0,False,True,False,B1,True,True,Si,10.0,8.17,8.59,,NP,Llucmajor
KJ372257,2593838,Certificat digital,07905,+34 786783945,27/12/1981,F,wbyryccocw@outlook.com,07121,0.0,False,True,False,B1,True,True,Si,6.84,10.0,6.6,NP,5.93,Sant Joan de Labritja
61001736D,2925935,PreZëncial,07905,+34 789617039,11/03/1998,M,upjzg@gmail.com,07158,0.0,False,True,False,A2,True,True,Si,10.0,8.87,8.07,9.09,4.25,Sant Joan de Labritja
07809334Y,2329072,Certificat digital,07595,+34 802105211,27/11/1998,M,sjgor@example.com,07595,0.0,False,True,False,A2,True,True,No,10.0,9.55,7.43,NP,2.93,Llucmajor
61015678J,1952477,Correu electrònic,07158,+34 270980209,26/06/1981,M,ppbrwgb@example.com,07595,0.0,False,True,False,B2,True,True,Sí,6.38,7.3,7.55,NP,NP,Artà
46450587V,6456218,PreZëncial,07516,+34 356998630,01/04/1983,M,boscou@outlook.com,07905,0.0,False,True,False,A2,True,True,Sí,10.0,7.24,7.86,9.6,0.0,Santanyí
VF543807,8419339,PreZëncial,07805,+34 536328643,14/05/1988,F,opdps@example.com,07158,0.0,False,True,False,A2,True,False,Sí,7.33,8.86,7.14,5.65,5.93,Ibiza
62851275A,8677286,PreZëncial,07603,+34 545713162,23/12/2000,F,fhjsjb@outlook.com,07792,0.0,False,True,False,B1,True,True,No,1.51,6.12,6.96,1.27,10.0,Son Servera
47535431C,5908351,PreZëncial,07200,+34 516404424,12/03/1987,M,fstgfaa@gmail.com,07612,0.0,False,True,False,B2,True,True,Sí,6.58,9.1,,NP,10.0,Sant Josep de sa Talaia
81757869E,5543171,PreZëncial,07805,+34 449972563,26/12/1982,M,mjqlznmvq@yahoo.com,07494,0.0,False,True,False,C1,True,True,Sí,8.61,5.6,5.1,4.79,8.04,Ibiza
20928625M,4694604,PreZëncial,07516,+34 025741064,10/01/2002,M,ypljhxlyj@hotmail.com,07126,0.0,False,True,False,B1,True,True,No,10.0,,7.56,2.61,8.55,Santanyí
WF379234,895668,PreZëncial,07158,+34 944690143,05/06/1995,M,btrherv@gmail.com,07544,12.0,False,True,False,B2,True,True,Sí,5.04,6.1,7.89,8.81,7.51,Artà
40907931Q,4772503,Certificat digital,07222,+34 523379320,30/09/1984,M,baarftsymd@hotmail.com,07404,0.0,False,True,False,B2,True,True,Sí,2.63,4.73,8.52,2.55,0.89,Pollença
49549383T,8070415,PreZëncial,07805,+34 810810939,30/08/1978,F,slfdf@hotmail.com,07737,0.0,False,True,False,A2,True,True,Sí,0.0,10.0,NP,1.92,2.39,Ibiza
99372830L,9356616,Certificat digital,07200,+34 263650304,28/04/2000,M,cysaxckr@hotmail.com,07431,0.0,False,True,False,B2,True,True,Si,10.0,6.58,6.52,3.0,9.09,Sant Josep de sa Talaia
77878777H,6856020,PreZëncial,07544,+34 568977750,28/04/1997,F,frqzleflkz@yahoo.com,07905,0.0,False,True,False,B2,True,True,Si,5.06,8.21,6.89,8.48,2.88,Lloseta
AH810076,1062595,Certificat digital,07818,+34 918317425,28/06/1979,M,muqtsnobmg@example.com,07500,61.0,True,True,False,B2,True,True,Si,1.9,6.59,5.67,,1.71,Sóller
55699928T,7938156,PreZëncial,07950,+34 937207695,14/10/1982,F,labdmfbrx@outlook.com,07803,0.0,False,True,False,A2,True,True,Sí,NP,5.85,8.3,9.3,NP,Búger
CZ060465,4532184,PreZëncial,07657,+34 254059983,08/09/2001,F,ffhrtrxe@example.com,07158,0.0,False,True,False,C2,True,True,Sí,10.0,7.72,6.22,,10.0,Ses Salines
JH060025,3281933,PreZëncial,07603,+34 797969719,23/10/1988,M,upsmkkucad@hotmail.com,07950,0.0,False,True,False,A1,True,True,Sí,4.66,8.79,8.84,3.31,10.0,Son Servera
54576638F,5931756,PreZëncial,07126,+34 764155162,13/08/1996,F,abpdj@gmail.com,07657,17.0,False,True,False,A2,True,True,Sí,0.0,4.31,6.54,4.21,4.58,Santa Eulalia del Río (Santa Eulària des Riu)
UR797268,3249202,Certificat digital,07792,+34 704266159,11/08/2003,F,kzwixutvhr@outlook.com,07200,0.0,False,True,False,A2,True,False,No,3.75,7.45,NP,6.96,NP,Algaida
60770704N,6361639,Certificat digital,07500,+34 386950188,01/01/1992,M,whdmce@hotmail.com,07494,0.0,False,True,False,B1,True,True,Sí,10.0,7.59,7.46,5.12,NP,Campos
26110500A,2923684,PreZëncial,07747,+34 308402827,13/11/2001,M,ybxlr@outlook.com,07950,12.0,False,True,False,B1,True,True,Sí,NP,9.2,7.42,10.0,6.43,Inca
72182061B,9230622,PreZëncial,07740,+34 477832570,31/08/1997,F,ohraeuujbz@example.com,07792,0.0,False,True,False,C2,True,True,Sí,6.72,,8.54,10.0,3.36,Ciutadella de Menorca
70053419L,3189955,Certificat digital,07404,+34 365641160,08/12/1979,M,gkrhqxtsxo@gmail.com,07747,0.0,False,True,False,A2,True,True,Sí,0.0,10.0,6.32,5.87,0.0,Sant Antoni de Portmany
MJ580176,3005892,PreZëncial,07126,+34 180146849,29/03/2000,M,krzao@yahoo.com,07603,0.0,False,True,False,A2,True,True,Sí,9.49,6.48,6.24,4.58,0.0,Santa Eulalia del Río (Santa Eulària des Riu)
07292078C,2859571,PreZëncial,07657,+34 292561090,07/08/1990,F,qlccftvxfa@outlook.com,07950,0.0,False,True,False,C1,True,True,Sí,1.5,5.33,6.12,,6.09,Ses Salines
IP645555,2370456,Certificat digital,07431,+34 525154614,16/06/1996,M,muegsbhb@example.com,07494,0.0,False,True,False,B2,True,False,Sí,9.08,10.0,5.39,0.62,4.24,Palma de Mallorca
CK662178,8134819,PreZëncial,07516,+34 285330278,25/09/1995,F,pozugafi@example.com,07737,0.0,False,True,False,C2,True,True,No,5.78,8.35,,,NP,Santanyí
23966545Q,2766334,PreZëncial,07915,+34 074347340,31/12/1997,F,iibnkcll@yahoo.com,07805,13.0,False,True,False,C1,True,False,Sí,NP,6.73,6.45,7.8,NP,Capdepera
03512231Q,3068130,PreZëncial,07222,+34 412636822,04/10/1989,M,ekuglcmk@gmail.com,07612,0.0,False,True,False,A2,True,True,Sí,7.84,8.16,6.92,3.14,0.0,Pollença
YD846792,5399256,Certificat digital,07200,+34 771106938,08/10/1994,M,oghchwb@hotmail.com,07805,0.0,False,True,False,B1,True,False,Sí,0.57,7.24,NP,6.61,NP,Sant Josep de sa Talaia
EC502808,5119484,PreZëncial,07612,+34 157784467,22/06/1992,F,osriqd@hotmail.com,07603,10.0,False,True,False,B1,True,True,Sí,10.0,8.81,6.88,4.1,3.57,Alaior
IW125527,3619448,PreZëncial,07494,+34 825784184,19/05/2001,M,nsloa@hotmail.com,07431,0.0,False,True,False,B1,True,True,Sí,5.82,5.93,6.24,5.18,10.0,Sant Llorenç des Cardassar
98453116Y,6779732,PreZëncial,07818,+34 038039118,11/03/1993,M,kcjuhzhrl@hotmail.com,07603,0.0,False,True,False,B2,True,False,Sí,8.05,3.76,6.42,0.0,3.27,Sóller
55449769N,7714466,PreZëncial,07805,+34 782218663,18/12/1975,M,zecvureqjl@example.com,07494,0.0,False,True,False,A2,True,True,Sí,7.64,NP,5.59,7.81,,Ibiza
30813533L,3186462,PreZëncial,07222,+34 036201915,12/06/1983,M,suzpmna@outlook.com,07516,0.0,False,True,False,B1,True,True,Sí,10.0,6.87,7.86,5.35,2.62,Pollença
57262390A,6508912,PreZëncial,07431,+34 264088944,26/03/2000,F,bymcaxmuxj@outlook.com,07222,0.0,False,True,False,C1,True,True,Sí,NP,7.0,7.2,8.28,NP,Palma de Mallorca
BU318788,9066953,PreZëncial,07595,+34 883303485,27/03/1977,M,heplap@gmail.com,07126,0.0,False,True,False,B1,True,True,Sí,10.0,5.96,7.54,0.23,7.08,Llucmajor
83511421P,2217184,Correu electrònic,07792,+34 802602159,09/05/1986,F,jklkmxkp@hotmail.com,07500,0.0,False,True,False,B1,True,False,Sí,8.46,8.48,7.02,9.82,5.54,Algaida
LS937643,9272495,Certificat digital,07404,+34 441472690,05/06/1990,M,keddjmwfc@example.com,07158,0.0,False,True,False,B1,True,True,Si,2.99,4.1,7.6,4.62,6.27,Sant Antoni de Portmany
BW626150,3198757,PreZëncial,07991,+34 521316559,24/07/1985,F,eovanbxoq@yahoo.com,07544,0.0,False,True,False,C2,True,True,Sí,4.75,6.83,7.04,10.0,NP,Petra
21210390C,6842525,Correu electrònic,07803,+34 201215906,21/01/1982,M,xihjszzn@gmail.com,07737,16.0,False,True,False,B1,True,True,Sí,5.52,10.0,6.12,6.08,0.16,Felanitx
63523448R,1952462,Correu electrònic,07905,+34 583138607,22/11/2003,M,uohqpo@example.com,07603,0.0,False,False,False,B1,True,True,Sí,5.03,7.73,7.25,,8.03,Sant Joan de Labritja
47677837X,6340761,Correu electrònic,07516,+34 304795855,13/01/1998,M,qvjbrmicm@yahoo.com,07595,0.0,False,True,False,C1,True,True,Sí,10.0,7.44,6.74,0.68,0.0,Santanyí
42504476Q,3516795,PreZëncial,07991,+34 804434375,26/07/1986,F,myasu@outlook.com,07792,0.0,False,True,False,A1,True,True,Sí,7.64,10.0,NP,3.78,7.87,Petra
24719032N,2106591,PreZëncial,07494,+34 371753481,28/05/2003,F,ijyugjad@yahoo.com,07657,0.0,False,True,False,B2,True,True,Sí,5.29,6.67,7.1,3.92,3.42,Sant Llorenç des Cardassar
69441909X,3561259,PreZëncial,07431,+34 389015767,05/01/1974,F,ohigsut@gmail.com,07905,0.0,False,True,False,A2,True,True,Sí,0.3,6.14,7.27,,0.33,Palma de Mallorca
ED967397,379788,PreZëncial,07905,+34 253785844,07/03/1998,F,qfpdll@outlook.com,07792,0.0,False,True,False,B2,True,True,No,NP,6.98,7.9,NP,NP,Sant Joan de Labritja
07950859N,1706641,Certificat digital,07126,+34 138515239,20/04/1979,M,ypvpvea@example.com,07121,0.0,False,True,False,C1,True,True,Si,6.22,5.96,5.62,10.0,2.02,Santa Eulalia del Río (Santa Eulària des Riu)
LE167966,6490308,PreZëncial,07603,+34 023883390,01/03/1982,M,dwcjvaxlox@gmail.com,07950,0.0,False,True,False,B1,True,True,Sí,0.0,10.0,7.63,3.17,2.7,Son Servera
05381834H,8259247,Correu electrònic,07950,+34 348805633,07/03/1997,M,fbecsg@gmail.com,07792,0.0,False,True,False,C2,True,True,No,0.0,9.45,6.4,3.91,9.98,Búger
32280834N,5401901,PreZëncial,07494,+34 979334157,10/12/1985,F,rogknvksjj@hotmail.com,07657,0.0,False,True,False,B2,True,True,Si,8.2,6.3,7.02,7.66,3.34,Sant Llorenç des Cardassar
39075527E,4151793,PreZëncial,07038,+34 523874020,01/12/1973,F,picmcoc@outlook.com,07747,0.0,False,True,False,B1,True,True,No,8.15,9.27,,6.5,9.99,Consell
15237635C,5557632,Correu electrònic,07657,+34 867864126,22/08/1985,F,uikcjkuwq@gmail.com,07792,0.0,False,True,False,B2,True,True,Sí,0.0,7.01,7.65,,5.2,Ses Salines
80227944B,1886860,PreZëncial,07516,+34 666972370,13/05/1981,M,gjvmbcrvdn@yahoo.com,07657,0.0,False,True,False,B2,True,True,Sí,10.0,9.19,5.63,6.84,3.42,Santanyí
14859398H,4240476,PreZëncial,07818,+34 207241318,18/08/2002,F,yuhzwrdujc@gmail.com,07818,0.0,False,True,False,C2,True,False,Sí,NP,6.01,6.06,8.35,10.0,Sóller
00238559A,7498934,PreZëncial,07121,+34 403462009,10/04/1985,F,ocpezqgo@example.com,07431,0.0,False,True,False,C2,True,True,No,0.89,9.65,7.84,10.0,6.25,Alcúdia
20571712Y,2389336,PreZëncial,07747,+34 677855155,01/04/1981,M,fbnpao@yahoo.com,07404,0.0,False,True,False,C1,True,True,Sí,8.65,NP,6.44,5.89,1.82,Inca
39731990L,5145513,PreZëncial,07747,+34 427258056,21/09/1993,M,wpylwhwxtp@yahoo.com,07792,0.0,False,True,False,A2,True,True,Sí,7.19,4.12,NP,NP,,Inca
36108173J,3460503,PreZëncial,07431,+34 217533182,05/05/1991,F,kwxcujykqy@outlook.com,07737,0.0,False,True,False,C2,True,True,Sí,10.0,10.0,NP,10.0,NP,Palma de Mallorca
89849921F,557008,PreZëncial,07595,+34 867619269,25/11/1994,F,wnswkd@yahoo.com,07657,58.0,True,True,False,C2,True,True,Sí,9.89,6.07,6.72,,6.5,Llucmajor
YF596514,1903293,Certificat digital,07360,+34 076899130,16/02/2003,M,kuxszuw@gmail.com,07905,55.0,True,True,False,B2,True,True,Sí,7.81,4.27,5.44,4.13,3.07,Marratxí
93364788Z,3766427,Correu electrònic,07360,+34 029997239,25/11/1974,M,fnxgyrcio@hotmail.com,07737,70.0,True,True,False,B2,True,True,Sí,10.0,NP,6.67,NP,5.46,Marratxí
49995569D,3495887,Correu electrònic,07158,+34 856786036,14/05/1974,F,yxlzmshx@outlook.com,07500,0.0,False,True,False,C2,True,True,Sí,8.84,5.39,NP,5.52,4.23,Artà
83072109L,3587373,PreZëncial,07200,+34 693593282,05/08/1991,F,jlzomutglf@yahoo.com,07803,15.0,False,True,False,C1,True,True,Si,0.0,8.27,NP,8.04,NP,Sant Josep de sa Talaia
15692134Q,3287470,PreZëncial,07803,+34 269875784,01/11/1993,F,dfkln@outlook.com,07544,0.0,False,True,False,C1,True,False,Sí,0.0,8.34,,7.18,4.96,Felanitx
05238181T,8425025,PreZëncial,07360,+34 437628243,19/02/1979,F,dqfcady@hotmail.com,07747,0.0,False,False,False,A2,True,True,Sí,3.66,7.63,5.94,2.97,NP,Marratxí
IT150525,4349792,PreZëncial,07222,+34 178479053,23/08/2003,M,tdfzpdypj@yahoo.com,07603,0.0,False,True,False,A2,True,True,Sí,7.37,8.73,NP,4.62,3.83,Pollença
37402009F,4854205,PreZëncial,07121,+34 202746289,06/06/2003,M,jxqesy@gmail.com,07805,0.0,False,True,False,A2,True,True,Sí,10.0,7.16,6.83,7.93,6.9,Alcúdia
03822108Z,5826867,Certificat digital,07991,+34 349352453,21/03/2002,M,wdjhdqus@yahoo.com,07603,0.0,False,True,False,A2,True,True,Sí,0.0,7.06,7.21,,5.52,Petra
88493116H,3981719,Certificat digital,07431,+34 086134549,17/12/1993,F,vhccnka@outlook.com,07544,0.0,False,True,False,B1,True,True,Sí,10.0,NP,7.2,3.73,8.86,Palma de Mallorca
10148587K,1286347,PreZëncial,07494,+34 105928497,16/04/1974,M,lgwzy@outlook.com,07158,0.0,False,True,False,B2,True,True,Sí,5.77,9.08,5.71,4.4,3.57,Sant Llorenç des Cardassar
50289998S,2107096,PreZëncial,07818,+34 288162148,19/11/2001,F,packfdnx@example.com,07404,0.0,False,True,False,B2,True,True,Sí,10.0,10.0,5.99,NP,7.29,Sóller
64964130D,259300,PreZëncial,07431,+34 978281745,24/04/1993,F,mflmubx@hotmail.com,07360,0.0,False,True,False,B2,True,True,Sí,NP,8.69,5.98,7.97,10.0,Palma de Mallorca
84844843M,2890705,PreZëncial,07494,+34 578447228,26/01/1979,M,aneqsy@example.com,07792,0.0,False,True,False,C2,True,True,Sí,10.0,8.14,7.71,2.48,5.16,Sant Llorenç des Cardassar
21045222S,2192833,Certificat digital,07818,+34 892330467,20/12/1989,M,kumruy@hotmail.com,07950,0.0,False,True,False,C1,True,False,Sí,10.0,6.26,8.19,4.18,3.3,Sóller
AD558254,2055599,PreZëncial,07200,+34 220274297,13/05/1996,F,eonxnnqk@outlook.com,07805,0.0,False,True,False,A1,True,True,No,0.15,7.08,7.29,,4.15,Sant Josep de sa Talaia
AP204706,4068834,Correu electrònic,07915,+34 887694666,20/03/2004,F,bjhpnti@outlook.com,07544,0.0,False,True,False,C2,True,True,Sí,10.0,6.99,7.33,7.86,3.6,Capdepera
NI642153,666417,PreZëncial,07818,+34 978189144,23/05/1977,F,vcwwjrynsk@hotmail.com,07431,0.0,False,True,False,B2,True,True,Sí,4.13,NP,8.84,,9.61,Sóller
47990544D,4806376,PreZëncial,07404,+34 825775279,13/09/2001,F,xnnlb@example.com,07612,0.0,False,True,False,B2,True,True,Sí,9.43,8.68,7.15,7.06,8.63,Sant Antoni de Portmany
69632233D,3754435,PreZëncial,07603,+34 132423279,27/04/1980,M,hvlure@gmail.com,07603,0.0,False,True,False,B1,True,True,Sí,4.32,7.8,NP,,0.0,Son Servera
11606328E,6233698,PreZëncial,07595,+34 981811410,22/04/1989,M,tpetrmfv@yahoo.com,07200,0.0,False,True,False,B2,True,True,Si,10.0,8.97,8.57,7.69,10.0,Llucmajor
89597304E,5290422,Certificat digital,07803,+34 385312428,23/08/1994,F,ksyyijveco@outlook.com,07544,28.0,False,True,False,B2,True,True,Sí,9.66,5.31,6.83,10.0,1.8,Felanitx
89493101D,4351789,PreZëncial,07603,+34 082974599,02/01/1994,F,rnixmux@yahoo.com,07740,0.0,False,True,False,B2,True,True,Sí,3.03,10.0,8.24,,7.42,Son Servera
SE563994,2530223,PreZëncial,07603,+34 344966495,20/11/1987,F,cdgwidyj@example.com,07747,0.0,False,True,False,B1,True,False,Sí,10.0,9.27,9.09,7.15,5.79,Son Servera
24976738A,5811117,PreZëncial,07360,+34 298170906,16/02/2002,M,cffxcebz@yahoo.com,07360,0.0,False,True,False,B2,True,True,Sí,0.0,8.04,6.66,,1.21,Marratxí
29982963W,4276699,PreZëncial,07603,+34 689413857,03/12/1982,M,brwulnuiu@yahoo.com,07500,0.0,False,True,False,A2,True,True,Sí,10.0,7.09,5.33,0.86,0.0,Son Servera
09831155N,2808386,PreZëncial,07431,+34 882223751,13/04/1980,M,vaiaa@outlook.com,07158,0.0,False,True,False,B2,True,True,Sí,0.0,7.47,6.83,0.0,6.21,Palma de Mallorca
09992762K,6926465,PreZëncial,07121,+34 135088036,16/05/2004,F,oxtocrkoya@gmail.com,07121,34.0,False,True,False,B2,True,False,Sí,9.03,NP,7.13,8.21,NP,Alcúdia
VP284577,3836186,PreZëncial,07740,+34 486592618,18/07/1986,F,hcaxhtsgla@gmail.com,07915,0.0,False,True,False,B1,True,True,Sí,10.0,10.0,8.38,5.8,NP,Ciutadella de Menorca
KT940174,6999386,PreZëncial,07803,+34 959886558,18/08/2005,M,rhgtbzdkpb@yahoo.com,07222,0.0,False,True,False,C2,True,False,No,5.9,NP,6.86,7.82,NP,Felanitx
48675270W,3335937,PreZëncial,07222,+34 815209738,01/12/1992,F,jrnrav@example.com,07805,0.0,False,True,False,C2,True,True,Sí,4.22,10.0,7.58,4.98,5.26,Pollença
05057286T,2761820,Correu electrònic,07612,+34 975747972,20/10/1994,M,bbdjoldsiv@gmail.com,07747,0.0,False,True,False,C1,True,True,No,10.0,6.58,6.35,6.67,10.0,Alaior
24472928P,627730,PreZëncial,07603,+34 277591327,27/04/1993,M,umlijktuaq@outlook.com,07905,21.0,False,True,False,B1,True,True,No,2.87,7.85,NP,5.66,10.0,Son Servera
53279047F,7291112,Certificat digital,07805,+34 458320845,13/07/1974,F,jdovolps@yahoo.com,07792,0.0,False,True,False,B2,True,True,Sí,5.57,8.53,5.89,NP,0.0,Ibiza
VU651908,1345183,PreZëncial,07431,+34 646345663,26/01/1991,M,matwjreuz@yahoo.com,07404,0.0,False,True,False,B1,True,True,No,4.49,7.7,9.2,6.76,10.0,Palma de Mallorca
LO059955,2957217,PreZëncial,07818,+34 618720634,15/07/1987,M,jbciebphye@outlook.com,07818,0.0,False,True,False,A2,True,True,Sí,NP,4.66,6.4,1.51,7.5,Sóller
46479253W,2953371,Certificat digital,07818,+34 081059400,26/09/2001,F,gzyonorc@outlook.com,07603,0.0,False,True,False,C1,True,False,Sí,4.78,9.5,8.22,,9.67,Sóller
77682293T,7964510,PreZëncial,07737,+34 468198861,07/06/1988,M,lnbzz@gmail.com,07747,0.0,False,True,False,C1,True,True,Sí,NP,8.09,7.06,0.67,7.13,Mahón (Maó)
95936465S,8430699,PreZëncial,07905,+34 036058740,31/12/2004,M,nycwnunxk@example.com,07500,11.0,False,True,False,A2,True,False,Sí,10.0,6.1,8.07,0.0,4.67,Sant Joan de Labritja
CZ551133,4481229,PreZëncial,07038,+34 455631148,17/12/1982,M,itfarv@yahoo.com,07500,0.0,False,True,False,A2,True,True,No,,6.24,6.88,4.64,1.08,Consell
BB816781,2643272,PreZëncial,07805,+34 471022171,07/09/1998,M,geyljmzdm@outlook.com,07805,0.0,False,True,False,B1,True,True,Sí,3.91,6.71,NP,3.08,NP,Ibiza
YS035564,6132299,PreZëncial,07657,+34 326914451,10/09/1996,M,jcwzxa@hotmail.com,07121,0.0,False,False,False,A2,True,True,Sí,3.11,10.0,8.41,5.89,10.0,Ses Salines
38865630T,4262777,Certificat digital,07805,+34 260992045,17/12/1994,M,ufbictf@yahoo.com,07740,0.0,False,True,False,A2,True,True,No,NP,4.71,NP,5.39,7.15,Ibiza
56230705Y,4554291,PreZëncial,07915,+34 437634669,04/08/2004,M,cohjmj@yahoo.com,07158,21.0,False,True,False,C2,True,True,Sí,10.0,8.65,7.67,NP,0.35,Capdepera
73706845X,9283608,Certificat digital,07740,+34 543789575,11/09/1998,F,mgpnk@example.com,07595,47.0,False,True,False,B2,True,True,Sí,NP,10.0,7.24,6.9,NP,Ciutadella de Menorca
